City,Country,Cloudiness,Humidity,Latitude,Longitude,Temperature,Max Temp,Windspeed
Aklavik,CA,20,62,68.22,-135.01,59.0,59.0,10.29
Caucaia,BR,0,62,-3.74,-38.65,82.04,84.2,18.34
Mar del Plata,AR,100,62,-38.0,-57.56,51.6,52.0,12.75
Hilo,US,75,61,19.73,-155.09,73.15,82.4,8.05
Campbellsville,US,75,61,37.34,-85.34,79.84,82.4,8.05
Puerto Ayora,EC,40,61,-0.74,-90.35,72.61,78.8,16.11
Vao,NC,24,61,-22.67,167.48,68.67,68.67,10.71
Aljezur,PT,0,61,37.32,-8.8,77.0,77.0,10.51
Trelew,AR,100,61,-43.25,-65.31,42.46,42.46,28.79
Krasnosel'kup,RU,54,61,65.7,82.47,57.34,57.34,11.12
Agüimes,ES,20,61,27.91,-15.45,76.42,77.0,25.28
Vila Velha,BR,40,61,-20.33,-40.29,78.57,80.01,10.29
Rome,US,40,60,43.21,-75.46,73.54,75.0,13.87
Mount Darwin,ZW,2,60,-16.77,31.58,63.16,63.16,0.6
Dryden,CA,40,60,49.78,-92.75,69.8,69.8,8.05
Fraga,ES,94,60,41.52,0.35,76.08,77.0,4.7
Kutum,SD,37,60,14.2,24.67,76.33,76.33,8.59
Havre-St-Pierre,CA,75,60,50.23,-63.6,68.0,68.0,10.29
Clyde River,CA,75,59,70.47,-68.59,60.8,60.8,5.82
Kindu,CD,0,59,-2.95,25.95,78.6,78.6,2.13
Houma,US,40,59,29.6,-90.72,91.18,93.0,6.93
Estelle,US,40,59,29.85,-90.11,93.31,95.0,8.05
Nome,US,1,59,64.5,-165.41,62.19,68.0,2.26
Beringovskiy,RU,28,58,63.05,179.32,51.64,51.64,11.07
Inuvik,CA,40,58,68.35,-133.72,59.0,59.0,10.29
Mincivan,AZ,4,58,39.03,46.72,69.26,69.26,1.03
Leningradskiy,RU,15,58,69.38,178.42,47.44,47.44,4.94
Coihueco,CL,75,58,-36.62,-71.83,55.4,55.4,2.24
Walvis Bay,NA,0,58,-22.96,14.51,54.72,55.4,9.17
Wad Rāwah,SD,74,58,15.16,33.14,85.15,85.15,11.5
Upernavik,GL,100,57,72.79,-56.15,49.14,49.14,6.87
Necochea,AR,30,57,-38.55,-58.74,48.99,48.99,14.0
Portland,US,0,57,45.52,-122.68,77.68,81.0,1.99
Bluefield,US,20,57,37.27,-81.22,75.09,78.01,8.05
Flin Flon,CA,20,57,54.77,-101.86,78.8,78.8,5.82
Aasiaat,GL,95,57,68.71,-52.87,47.88,47.88,8.79
Brnakot,AM,24,56,39.5,45.97,69.8,71.6,4.7
Jamestown,US,40,56,42.1,-79.24,71.17,72.0,17.22
Thompson,CA,75,56,55.74,-97.86,69.8,69.8,4.7
Pacific Grove,US,1,56,36.62,-121.92,74.89,91.0,5.82
Dillon,US,40,55,34.42,-79.37,87.24,89.01,3.36
Umluj,SA,0,55,25.02,37.27,87.98,87.98,4.21
Ayagoz,KZ,0,55,47.97,80.44,60.46,60.46,11.32
Wagar,SD,79,55,16.15,36.2,85.46,85.46,18.12
College,US,20,55,64.86,-147.8,66.31,69.01,3.11
Bemidji,US,1,54,47.47,-94.88,79.86,81.0,9.17
Talcahuano,CL,20,54,-36.72,-73.12,55.4,55.4,14.99
Lompoc,US,1,54,34.64,-120.46,81.77,88.0,12.75
Alushta,UA,0,54,44.67,34.42,72.14,72.14,6.58
Krasnoarmiys'k,UA,0,53,48.28,37.18,69.51,69.51,4.43
Peace River,CA,75,53,56.25,-117.29,77.0,77.0,4.7
Sisimiut,GL,37,53,66.94,-53.67,55.76,55.76,4.52
Udachny,RU,96,53,66.42,112.4,50.0,50.0,2.24
Hobe Sound,US,75,52,27.06,-80.14,91.11,93.0,5.82
Decatur,US,75,51,39.84,-88.95,80.24,81.0,10.29
El Sauzal de Rodríguez,MX,4,51,31.9,-116.68,86.14,86.14,8.21
Salinas,US,1,51,36.68,-121.66,82.89,91.0,8.05
Talas,TR,0,51,38.69,35.55,62.6,62.6,2.24
Viljoenskroon,ZA,0,51,-27.21,26.95,28.99,28.99,5.84
Brookings,US,1,51,44.31,-96.8,81.46,82.0,11.41
Salina,US,40,51,38.84,-97.61,82.65,84.0,4.7
Ferreira do Alentejo,PT,0,51,38.05,-8.03,82.4,82.4,13.87
Rockland,US,1,51,41.17,-74.05,81.59,84.0,6.69
Kahului,US,75,51,20.89,-156.47,79.57,86.0,20.8
Tambopata,PE,40,50,-12.73,-69.18,95.0,95.0,8.05
Villefontaine,FR,0,50,45.61,5.15,75.65,78.8,6.93
Griffith,US,75,49,41.53,-87.42,74.7,77.0,10.29
Emporia,US,1,48,38.4,-96.18,82.4,82.4,10.29
Machachi,EC,75,48,-0.5,-78.57,62.51,68.0,8.05
Río Gallegos,AR,20,47,-51.62,-69.22,37.4,37.4,21.92
Punta Arenas,CL,40,47,-53.15,-70.92,37.2,37.4,17.22
Athabasca,CA,21,47,54.72,-113.29,82.13,82.13,4.99
Shubarshi,KZ,0,47,48.59,57.19,61.07,61.07,9.66
Tabora,TZ,67,46,-5.02,32.8,71.6,71.6,5.82
Broken Hill,AU,90,46,-31.95,141.43,53.6,53.6,21.92
Deep River,CA,20,46,46.1,-77.5,71.6,71.6,9.06
Mount Isa,AU,0,46,-20.73,139.5,53.6,53.6,10.16
Olavarría,AR,100,46,-36.89,-60.32,53.35,53.35,8.77
Lodja,CD,4,46,-3.48,23.43,80.04,80.04,2.15
Lüderitz,NA,0,45,-26.65,15.16,57.56,57.56,24.81
Albany,US,12,45,42.6,-73.97,77.0,77.0,10.92
Fairbanks,US,1,45,64.84,-147.72,66.4,69.01,3.36
Chadiza,ZM,0,45,-14.07,32.44,67.35,67.35,3.78
Araouane,ML,100,45,18.9,-3.53,88.41,88.41,15.28
Russellville,US,20,45,35.28,-93.13,87.28,87.8,9.17
Fălciu,RO,34,45,46.3,28.14,68.38,68.38,8.72
Riberalta,BO,40,44,-10.98,-66.1,96.8,96.8,13.87
Abnūb,EG,0,43,27.27,31.15,87.8,87.8,10.29
Russell,US,20,43,32.35,-85.2,91.78,93.2,6.93
Broome,US,40,43,42.25,-75.83,74.55,78.01,11.41
Sawākin,SD,75,43,19.11,37.33,95.09,95.09,4.23
Mpanda,TZ,6,42,-6.37,31.04,67.01,67.01,1.79
Bethel,US,20,42,41.37,-73.41,80.74,82.99,10.29
Sterling,US,20,42,39.01,-77.43,83.71,84.99,9.17
Brownsville,US,40,41,25.9,-97.5,94.71,96.8,9.17
Kuruman,ZA,0,41,-27.45,23.43,39.99,39.99,9.17
Balkhash,KZ,0,41,46.84,74.98,68.54,68.54,8.08
Ilulissat,GL,75,40,69.22,-51.1,53.6,53.6,3.36
Brigantine,US,1,40,39.41,-74.36,84.09,87.8,8.05
Narsaq,GL,20,39,60.92,-46.05,64.4,64.4,6.93
Slave Lake,CA,1,39,55.28,-114.77,84.2,84.2,9.17
Graciano Sánchez,MX,40,38,23.92,-99.28,91.4,91.4,6.93
La Santisima Trinidad,BO,20,37,-14.83,-64.9,98.6,98.6,20.8
Bulungu,CD,52,37,-4.55,18.6,86.79,86.79,2.26
Departamento de Maldonado,UY,0,37,-34.67,-54.92,63.3,71.6,10.29
Luján,AR,0,37,-34.57,-59.1,64.94,66.0,5.99
Oriximiná,BR,61,36,-1.77,-55.87,94.68,94.68,4.23
Matamoros,MX,75,35,25.53,-103.25,87.39,87.8,13.47
Guerrero Negro,MX,0,35,27.98,-114.06,92.75,92.75,7.76
Karratha,AU,42,35,-20.74,116.85,65.53,65.53,13.29
Palmer,US,40,34,42.16,-72.33,81.54,84.0,10.29
Natchitoches,US,1,34,31.77,-93.13,95.0,95.0,6.93
Cochrane,CA,1,33,51.18,-114.47,86.97,89.01,5.82
Jalu,LY,0,33,29.03,21.55,86.32,86.32,12.06
Banff,CA,0,32,51.18,-115.57,84.99,84.99,14.0
General Pico,AR,100,32,-35.66,-63.76,59.7,59.7,19.44
Galveston,US,1,32,29.37,-94.97,94.87,97.0,6.93
Lugovoy,KZ,4,31,42.95,72.76,64.33,64.33,5.95
Comodoro Rivadavia,AR,40,31,-45.87,-67.5,46.4,46.4,18.34
Bow Island,CA,40,31,49.87,-111.37,89.53,90.0,5.82
Zhangye,CN,0,31,38.93,100.45,70.23,70.23,9.04
Ionia,US,75,31,42.99,-85.07,75.25,78.01,9.17
Mopipi,BW,0,31,-21.18,24.88,58.37,58.37,15.75
Cedral,MX,100,29,23.8,-100.73,79.81,79.81,9.1
San Borja,BO,10,29,-14.82,-66.85,97.75,97.75,8.84
Gumdag,TM,0,28,39.21,54.59,81.57,81.57,8.48
Santa Rosa de Viterbo,BR,75,27,-21.47,-47.36,86.04,91.4,4.7
Igunga,TZ,97,27,-4.28,33.88,71.56,71.56,8.43
Mwinilunga,ZM,0,27,-11.74,24.43,65.28,65.28,3.36
Arlit,NE,46,26,18.74,7.39,95.97,95.97,2.59
Aksu,CN,100,25,41.12,80.26,80.82,80.82,11.54
Boca do Acre,BR,19,23,-8.75,-67.4,101.82,101.82,4.47
Parambu,BR,38,23,-6.21,-40.69,88.86,88.86,5.17
Atar,MR,0,23,20.52,-13.05,100.6,100.6,10.04
Menzel Salem,TN,20,23,35.86,8.48,87.8,87.8,6.93
São Félix do Xingu,BR,6,22,-6.64,-51.99,98.92,98.92,2.77
Mehrān,IR,0,22,33.12,46.16,75.2,75.2,2.24
Santiago del Estero,AR,0,21,-27.8,-64.26,80.49,80.49,6.17
Autazes,BR,12,20,-3.58,-59.13,102.83,102.83,5.01
Cortez,US,1,19,37.35,-108.59,89.22,91.4,10.65
Riyadh,SA,0,18,24.69,46.72,89.6,89.6,3.36
Buraidah,SA,0,18,26.33,43.98,93.2,93.2,8.05
Sabha,LY,0,17,27.04,14.43,90.93,90.93,10.04
Quirinópolis,BR,0,16,-18.45,-50.45,95.97,95.97,10.69
Bilma,NE,56,14,18.69,12.92,98.98,98.98,4.63
Aripuanã,BR,0,14,-9.17,-60.63,104.23,104.23,3.47
Aswān,EG,0,14,24.09,32.91,92.95,92.95,12.15
Saint George,US,1,13,37.1,-113.58,105.26,107.01,7.34
Taoudenni,ML,6,13,22.68,-3.98,108.39,108.39,13.44
